20200507;190000;9.848.5600000;9.870.0000000;9.750.0000000;9.802.1000000;1.513
20200507;200000;9.809.2500000;9.972.0300000;9.809.2500000;9.877.4300000;1.814
20200507;210000;9.877.0000000;9.908.9100000;9.744.7900000;9.808.2200000;1.351
20200507;220000;9.809.2000000;9.898.9400000;9.757.7900000;9.885.9000000;979
20200507;230000;9.880.1000000;9.939.5900000;9.840.0000000;9.908.4400000;713
20200508;000000;9.904.8600000;10.074.0000000;9.866.1700000;10.000.0000000;1.694
20200508;010000;10.008.1900000;10.048.3800000;9.880.1600000;10.036.2000000;863
20200508;020000;10.036.2000000;10.046.1000000;9.939.6000000;10.005.3300000;548
20200508;030000;9.996.3800000;10.005.2100000;9.868.9600000;9.912.7800000;590
20200508;040000;9.910.9300000;9.957.5000000;9.843.7600000;9.938.5900000;614
20200508;050000;9.939.3300000;9.944.0000000;9.880.1600000;9.920.5100000;292
20200508;060000;9.908.9000000;9.924.7900000;9.817.0600000;9.881.8300000;460
20200508;070000;9.872.0000000;9.884.1300000;9.762.3400000;9.775.1700000;744
20200508;080000;9.770.7100000;9.838.7600000;9.725.0000000;9.823.5600000;734
20200508;090000;9.823.5600000;9.915.7800000;9.817.9200000;9.870.5300000;558
20200508;100000;9.869.3600000;9.889.7800000;9.826.9600000;9.854.6000000;391
20200508;110000;9.854.6000000;9.972.0700000;9.836.8700000;9.966.5100000;459
20200508;120000;9.963.3800000;9.966.5300000;9.890.0000000;9.908.5000000;965
20200508;130000;9.916.0400000;9.927.9000000;9.803.4100000;9.836.3300000;954
20200508;140000;9.840.0000000;9.908.4100000;9.827.0800000;9.899.0000000;1.115
20200508;150000;9.895.9000000;10.015.0000000;9.880.0400000;9.978.7700000;966
20200508;160000;9.978.7900000;10.027.8800000;9.926.4600000;9.961.1000000;769
20200508;170000;9.961.1000000;10.011.1900000;9.932.1400000;9.991.1300000;694
20200508;180000;9.991.5600000;10.000.4200000;9.939.6000000;9.985.2800000;1.029
20200508;190000;9.984.7900000;9.995.0400000;9.897.9500000;9.910.0000000;668
20200508;200000;9.909.7900000;9.984.7500000;9.886.0900000;9.971.1500000;856
20200508;210000;9.965.2300000;10.005.4000000;9.950.0000000;10.005.0500000;834
20200508;220000;10.000.0000000;10.019.6700000;9.956.9900000;10.019.6700000;241
20200508;230000;10.019.6700000;10.022.0000000;9.866.9000000;9.893.7800000;951
20200509;000000;9.885.8000000;9.933.6500000;9.780.0000000;9.801.3500000;1.231
20200509;010000;9.809.0400000;9.890.0000000;9.733.1000000;9.879.5800000;989
20200509;020000;9.879.5800000;9.914.0000000;9.851.6200000;9.860.0000000;471
20200509;030000;9.860.0000000;9.879.4400000;9.828.6400000;9.860.4300000;295
20200509;040000;9.863.0600000;9.896.9100000;9.858.2100000;9.867.6100000;97
20200509;050000;9.872.6700000;9.883.5900000;9.785.7900000;9.837.0700000;237
20200509;060000;9.831.0400000;9.840.8900000;9.754.3600000;9.831.1200000;438
20200509;070000;9.837.5000000;9.839.0300000;9.655.4300000;9.695.1200000;628
20200509;080000;9.698.0000000;9.741.7000000;9.569.0000000;9.606.8700000;1.146
20200509;090000;9.597.1400000;9.698.1400000;9.591.2900000;9.669.8900000;314
20200509;100000;9.674.0700000;9.718.5100000;9.645.2500000;9.690.5100000;436
20200509;110000;9.699.6100000;9.699.6100000;9.555.0000000;9.635.6300000;444
