<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220530;180000;30.587.3100000;30.766.1400000;30.576.1000000;30.696.3900000;13
20220530;190000;30.696.3600000;30.710.3400000;30.631.6400000;30.662.0200000;1
20220530;200000;30.669.1600000;30.854.8700000;30.566.8000000;30.630.5200000;30
20220530;210000;30.624.6200000;31.424.9900000;30.514.4200000;31.240.8100000;205
20220530;220000;31.275.8200000;32.195.6800000;31.200.0100000;31.783.7400000;318
20220530;230000;31.806.4900000;31.865.0000000;31.469.5000000;31.756.3100000;137
20220531;000000;31.756.3100000;31.878.9300000;31.637.8000000;31.731.2200000;53
20220531;010000;31.677.1300000;31.834.0800000;31.438.0800000;31.553.6300000;52
20220531;020000;31.562.2600000;31.600.0000000;31.435.8400000;31.545.7400000;2
20220531;030000;31.537.9400000;31.694.0000000;31.512.1800000;31.680.7200000;10
20220531;040000;31.688.8700000;31.800.0000000;31.607.1200000;31.763.8500000;32
20220531;050000;31.745.0100000;31.786.2900000;31.631.3300000;31.662.1700000;11
20220531;060000;31.670.8900000;31.728.2200000;31.607.1200000;31.631.3300000;9
20220531;070000;31.625.3900000;31.641.7100000;31.413.6700000;31.463.2000000;12
20220531;080000;31.482.5600000;31.572.9400000;31.458.2600000;31.561.7400000;5
20220531;090000;31.560.5700000;31.700.0000000;31.550.0000000;31.611.0600000;35
20220531;100000;31.611.0600000;31.623.9300000;31.476.0200000;31.517.9900000;11
20220531;110000;31.523.1900000;31.647.5300000;31.491.1600000;31.621.6800000;5
20220531;120000;31.598.4400000;31.821.2000000;31.598.4400000;31.750.0000000;21
20220531;130000;31.750.0000000;31.789.0500000;31.510.3400000;31.590.8500000;28
20220531;140000;31.590.4900000;31.896.4800000;31.227.3400000;31.385.8300000;112
20220531;150000;31.370.4100000;31.706.8600000;31.181.2600000;31.679.9000000;102
20220531;160000;31.661.1200000;32.155.3300000;31.548.9500000;32.042.8800000;102
20220531;170000;32.017.5400000;32.375.8100000;31.826.0300000;32.151.4600000;92
20220531;180000;32.145.3200000;32.184.8000000;31.866.4000000;32.139.5000000;25
20220531;190000;32.103.9800000;32.140.7800000;31.588.9200000;31.650.1000000;75
20220531;200000;31.650.1000000;31.767.8300000;31.566.4000000;31.610.6100000;27
20220531;210000;31.610.6100000;31.786.6800000;31.568.0600000;31.781.0700000;6
20220531;220000;31.807.9300000;31.821.8300000;31.650.6900000;31.682.8600000;1
20220531;230000;31.679.8900000;31.884.4200000;31.662.6000000;31.856.5900000;6
20220601;000000;31.856.5900000;31.917.9600000;31.762.7100000;31.762.7600000;4
20220601;010000;31.777.0600000;31.962.7900000;31.665.9000000;31.922.1100000;13
20220601;020000;31.924.9600000;31.924.9600000;31.812.5700000;31.905.8000000;10
20220601;030000;31.889.2200000;31.908.2100000;31.693.7600000;31.793.9800000;5
20220601;040000;31.793.3800000;31.793.3800000;31.573.9800000;31.600.3000000;4
20220601;050000;31.606.3400000;31.648.8500000;31.312.5300000;31.545.9200000;97
20220601;060000;31.545.8800000;31.607.7900000;31.417.7200000;31.590.5000000;6
20220601;070000;31.600.1600000;31.657.7200000;31.547.1200000;31.573.9400000;11
20220601;080000;31.564.6000000;31.602.3800000;31.453.3600000;31.464.9500000;14
20220601;090000;31.464.9500000;31.620.3200000;31.432.1400000;31.603.7100000;1
20220601;100000;31.601.4500000;31.684.0300000;31.576.6100000;31.679.3600000;2
20220601;110000;31.668.5600000;31.692.2200000;31.522.8400000;31.540.3900000;52
20220601;120000;31.540.3900000;31.654.9100000;31.430.2800000;31.577.2800000;16
20220601;130000;31.600.5600000;31.813.8500000;31.507.2300000;31.711.9800000;21
20220601;140000;31.673.9900000;31.878.5300000;31.624.1000000;31.722.4000000;37
20220601;150000;31.730.6100000;31.786.5800000;30.925.9200000;31.148.5000000;191
